trip_id,duration_sec,start_date,start_station_name,start_station_id,end_date,end_station_name,end_station_id,bike_number,zip_code,subscriber_type,c_subscription_type,start_station_latitude,start_station_longitude,end_station_latitude,end_station_longitude,member_birth_year,member_gender,bike_share_for_all_trip,start_station_geom,end_station_geom
201802240008281297,595,2/24/2018 0:08:28,Lake Merritt BART Station,163,2/24/2018 0:18:24,10th Ave at E 15th St,222,1297,,Subscriber,,37.7973195,-122.2653199,37.7927143,-122.2487796,1987,Male,No,POINT(-122.2653199 37.7973195),POINT(-122.2487796 37.7927143)
20170803193416678,951,8/3/2017 19:34:16,MLK Jr Way at 14th St,232,8/3/2017 19:50:07,10th Ave at E 15th St,222,678,,Subscriber,,37.8061628,-122.2760402,37.7927143,-122.2487796,1968,Female,,POINT(-122.2760402 37.8061628),POINT(-122.2487796 37.7927143)
201709300946251265,213,9/30/2017 9:46:25,San Antonio Park,46,9/30/2017 9:49:59,10th Ave at E 15th St,222,1265,,Subscriber,,37.79013985,-122.2423732,37.7927143,-122.2487796,1993,Male,,POINT(-122.242373228073 37.7901398518536),POINT(-122.2487796 37.7927143)
201801160042223440,682,1/16/2018 0:42:22,Snow Park,198,1/16/2018 0:53:44,10th Ave at E 15th St,222,3440,,Subscriber,,37.80781318,-122.2644961,37.7927143,-122.2487796,1987,Male,No,POINT(-122.264496088028 37.807813182179),POINT(-122.2487796 37.7927143)
20170810133039674,1007,8/10/2017 13:30:39,Telegraph Ave at 19th St,183,8/10/2017 13:47:27,10th Ave at E 15th St,222,674,,Customer,,37.8087021,-122.2699271,37.7927143,-122.2487796,1987,Female,,POINT(-122.2699271 37.8087021),POINT(-122.2487796 37.7927143)
201801191744313232,722,1/19/2018 17:44:31,Washington St at 8th St,202,1/19/2018 17:56:33,10th Ave at E 15th St,222,3232,,Customer,,37.8007544,-122.2748943,37.7927143,-122.2487796,1989,Male,No,POINT(-122.2748943 37.8007544),POINT(-122.2487796 37.7927143)
201802041053153629,797,2/4/2018 10:53:15,Washington St at 8th St,202,2/4/2018 11:06:32,10th Ave at E 15th St,222,3629,,Subscriber,,37.8007544,-122.2748943,37.7927143,-122.2487796,1998,Female,No,POINT(-122.2748943 37.8007544),POINT(-122.2487796 37.7927143)
201709181441532238,474,9/18/2017 14:41:53,10th Ave at E 15th St,222,9/18/2017 14:49:47,10th St at Fallon St,201,2238,,Customer,,37.7927143,-122.2487796,37.7976728,-122.2629973,,,,POINT(-122.2487796 37.7927143),POINT(-122.2629973 37.7976728)
201712120637392890,466,12/12/2017 6:37:39,10th Ave at E 15th St,222,12/12/2017 6:45:26,10th St at Fallon St,201,2890,,Subscriber,,37.7927143,-122.2487796,37.7976728,-122.2629973,1984,Male,,POINT(-122.2487796 37.7927143),POINT(-122.2629973 37.7976728)
201708141919291312,82,8/14/2017 19:19:29,10th St at Fallon St,201,8/14/2017 19:20:52,10th St at Fallon St,201,1312,,Subscriber,,37.7976728,-122.2629973,37.7976728,-122.2629973,1985,Female,,POINT(-122.2629973 37.7976728),POINT(-122.2629973 37.7976728)
2018021814544541,17333,2/18/2018 14:54:45,10th St at Fallon St,201,2/18/2018 19:43:38,10th St at Fallon St,201,41,,Customer,,37.7976728,-122.2629973,37.7976728,-122.2629973,,,No,POINT(-122.2629973 37.7976728),POINT(-122.2629973 37.7976728)
201804301222471192,4066,4/30/2018 12:22:47,10th St at Fallon St,201,4/30/2018 13:30:34,10th St at Fallon St,201,1192,,Customer,,37.7976728,-122.2629973,37.7976728,-122.2629973,1999,Male,No,POINT(-122.2629973 37.7976728),POINT(-122.2629973 37.7976728)
201802071710581631,4145,2/7/2018 17:10:58,10th St at Fallon St,201,2/7/2018 18:20:04,10th St at Fallon St,201,1631,,Customer,,37.7976728,-122.2629973,37.7976728,-122.2629973,,,No,POINT(-122.2629973 37.7976728),POINT(-122.2629973 37.7976728)
2017103016314536,1262,10/30/2017 16:31:45,10th St at Fallon St,201,10/30/2017 16:52:48,10th St at Fallon St,201,36,,Subscriber,,37.7976728,-122.2629973,37.7976728,-122.2629973,1996,Male,,POINT(-122.2629973 37.7976728),POINT(-122.2629973 37.7976728)
20170806152618654,1863,8/6/2017 15:26:18,10th St at Fallon St,201,8/6/2017 15:57:22,10th St at Fallon St,201,654,,Subscriber,,37.7976728,-122.2629973,37.7976728,-122.2629973,1953,Male,,POINT(-122.2629973 37.7976728),POINT(-122.2629973 37.7976728)
